...1,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
162,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,26,AT,1040 Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
163,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,27,AT,5082 Gr?dig,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
164,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,28,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
165,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,29,AT,Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
166,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,29,AT,Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
167,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,29,AT,8700,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
168,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,30,AT,"1090, WIen",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
169,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,31,AT,"8010, Graz",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
170,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,34,AT,"5020, Salzburg",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
171,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,35,AT,4020 Linz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
172,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,36,AT,6060 Hall i.Tirol,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
173,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,41,AT,8010 Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
174,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,46,AT,8010 Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
175,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,47,AT,8522 Gro? St. Florian,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
176,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Female,Learner,No,No,No,56,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
177,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,18,AT,1100 Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
178,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,19,AT,"8130, Frohnleiten",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
179,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,21,AT,1110 Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
180,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,21,AT,"5020, Salzburg",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
181,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,24,AT,"1170, Wien",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
182,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,24,AT,"8750, Judenburg",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
183,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,25,AT,5585 Unternberg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
184,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,25,AT,8010 Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
185,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,25,AT,8052 Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
